student,2
use,4
learning,13
study,4
learn,11
design,10
teacher,11
course,10
result,3
engineering,7
technology,11
research,3
model,8
system,10
education,3
online,3
group,3
based,1
analysis,3
test,8
school,3
paper,10
method,1
high,1
data,3
knowledge,3
approach,1
computer,1
two,1
science,3
provide,1
effect,3
tool,1
present,12
support,1
level,1
environment,1
develop,1
educational,1
teach,12
development,1
also,1
show,1
problem,1
process,1
experience,1
self,1
university,1
base,1
factor,9
activity,1
control,12
learner,1
teaching,5
practice,5
different,1
program,1
assessment,1
one,1
performance,1
item,8
skill,5
three,5
social,5
examine,5
concept,5
finding,5
project,12
work,5
information,5
article,5
classroom,5
new,5
well,5
year,5
time,5
find,5
strategy,5
cognitive,5
include,5
web,5
score,9
indicate,5
investigate,5
propose,5
content,5
theory,5
software,12
difference,5
significant,5
digital,5
purpose,5
measure,9
undergraduate,12
discuss,5
application,5
participant,5
context,5
case,5
instructional,5
improve,5
suggest,5
interaction,5
feedback,5
class,5
academic,5
describe,5
however,5
need,5
scale,9
change,5
impact,5
simulation,9
task,5
first,5
focus,5
evaluation,5
explore,5
experimental,5
survey,5
understanding,5
framework,5
pre,5
compare,5
perception,5
question,5
report,5
increase,5
role,5
make,5
laboratory,12
identify,5
communication,5
influence,5
response,9
outcome,5
attitude,5
evaluate,5
may,5
help,5
apply,5
discussion,5
important,5
experiment,6
achievement,5
type,5
conduct,5
structure,9
instruction,5
aim,5
within,5
relationship,5
power,12
service,5
way,5
among,5
motivation,5
professional,5
pedagogical,5
implementation,5
low,5
field,6
ability,5
user,5
four,5
sample,9
relate,5
curriculum,6
reveal,5
community,5
effective,5
implication,5
order,6
individual,5
efficacy,5
condition,6
language,5
peer,5
issue,5
view,6
number,6
positive,5
grade,6
enhance,6
understand,6
variable,9
effectiveness,6
network,6
quality,6
give,6
assess,6
game,1
term,6
author,6
current,6
multiple,6
good,6
future,6
many,6
interview,5
traditional,6
real,6
significantly,6
implement,6
value,6
faculty,6
take,6
demonstrate,6
face,5
integration,5
set,6
integrate,6
goal,6
material,6
interactive,6
large,6
challenge,6
training,6
review,6
internet,6
across,9
consider,6
subject,6
involve,6
form,6
create,6
practical,6
virtual,5
construct,6
mathematics,6
potential,6
determine,6
questionnaire,6
technique,6
interest,6
college,6
engagement,6
specific,6
post,6
open,6
inquiry,6
perceive,6
video,6
collect,6
belief,6
resource,6
regard,6
various,6
perform,6
instrument,6
solution,6
part,6
require,6
second,6
management,6
example,6
mean,6
allow,6
affect,6
offer,6
obtain,6
could,6
satisfaction,6
perspective,6
solve,6
participate,6
critical,6
graduate,6
conceptual,6
researcher,6
aspect,6
evidence,6
area,6
function,6
topic,6
several,6
gain,6
text,6
collaborative,5
team,6
general,6
to,6
state,6
engage,6
source,6
address,6
whether,6
methodology,6
theoretical,6
component,6
literature,6
write,6
validity,9
pattern,6
complex,6
introduce,6
play,6
facilitate,6
reliability,9
style,6
device,6
addition,6
characteristic,6
become,6
major,6
size,9
feature,6
solving,6
primary,6
benefit,6
secondary,6
ict,5
thinking,6
complete,6
setting,6
procedure,9
non,6
point,6
medium,6
related,6
prior,6
on,6
success,6
participation,6
promote,6
opportunity,6
degree,6
concern,6
educator,6
world,6
overall,6
predict,6
main,6
element,6
map,6
explain,6
small,6
correlation,6
follow,6
although,6
institution,6
rate,6
domain,6
lead,6
right,6
five,6
exist,6
particular,6
associate,6
employ,6
comparison,6
lesson,6
improvement,6
often,6
key,6
representation,6
achieve,6
elementary,6
lecture,6
background,6
basic,6
intervention,6
decision,6
conclusion,6
reflection,6
technical,6
previous,6
principle,6
in,6
physical,6
great,6
receive,6
difficulty,6
contribute,6
reading,6
enable,6
load,6
guide,6
observation,6
without,6
dimension,6
effort,6
idea,6
age,6
seek,6
active,6
useful,6
nature,6
phase,6
structural,6
importance,6
carry,6
less,6
dynamic,6
quantitative,6
adopt,6
personal,6
usage,6
consist,6
lack,6
possible,6
attention,6
total,6
exercise,6
life,6
line,6
select,6
mode,6
mixed,6
objective,6
share,6
able,6
alternative,6
fit,9
common,6
space,6
distance,6
accord,6
would,6
early,6
competence,6
observe,6
therefore,6
innovation,6
investigation,6
via,6
build,6
range,0
conclude,6
end,6
thus,0
answer,6
member,0
incorporate,0
relation,0
emerge,6
successful,0
finally,0
adaptive,0
draw,0
presentation,0
available,0
processing,0
step,0
illustrate,0
read,0
six,0
statistical,0
far,0
call,0
analyze,5
discipline,0
appropriate,0
stage,0
simple,0
similar,0
generate,0
transfer,0
choice,0
especially,0
relevant,0
category,0
final,0
frequency,0
cultural,0
acceptance,0
instructor,5
furthermore,0
career,0
establish,0
linear,0
recent,0
recommendation,0
construction,0
tutor,0
distribution,0
initial,0
specifically,0
visual,0
moreover,0
assign,0
direct,0
session,0
oriented,0
awareness,0
human,0
little,0
publish,0
structured,0
highlight,0
combine,0
single,0
expert,0
represent,0
rather,0
situation,0
perceived,0
account,0
designer,0
and,0
assignment,0
search,0
even,0
encourage,0
know,0
long,0
country,0
think,0
multi,0
competency,0
confidence,0
reason,0
produce,0
insight,0
adoption,0
advanced,0
reflect,0
version,0
statistically,0
reduce,0
cross,0
journal,0
place,0
plan,0
usefulness,0
young,0
gap,0
motivate,0
differential,0
either,0
average,0
regulation,0
innovative,0
due,0
particularly,0
define,0
strong,0
advantage,0
since,0
week,0
link,0
negative,0
like,0
detail,0
yet,0
national,0
stem,0
scenario,0
extend,0
might,0
meet,0
contribution,0
acquisition,0
ask,0
effectively,0
examination,0
best,0
middle,0
preference,0
unit,0
independent,0
assist,0
acquire,0
classification,0
selection,0
administer,0
requirement,0
demand,0
special,0
introduction,0
variety,0
extent,0
compute,0
see,0
much,0
phenomenon,0
statistic,0
generation,0
international,0
short,0
fundamental,0
sense,0
formative,0
growth,0
systematic,0
third,0
explanation,0
word,0
appear,0
easy,0
policy,0
additional,0
exam,0
necessary,0
must,0
inform,0
series,0
limitation,0
people,0
action,0
argue,0
embed,0
suggestion,0
description,0
likely,0
others,0
train,0
section,0
upon,0
indicator,0
path,0
derive,0
orientation,0
meaningful,0
building,0
enrol,0
widely,0
generally,0
confirm,0
capability,0
progress,0
continue,0
period,0
difficult,0
cluster,0
validate,0
adapt,0
light,0
retention,0
essential,0
divide,0
planning,0
drive,0
assumption,0
highly,0
reality,0
consideration,0
basis,0
serve,0
core,0
direction,0
still,0
choose,0
expectation,0
vary,0
operation,0
document,0
attempt,0
record,0
additionally,0
increasingly,0
seem,0
randomly,0
delivery,0
integrated,0
profile,0
aid,0
combination,0
expect,0
despite,0
actual,0
tend,0
past,0
reference,0
deep,0
together,0
eight,0
theme,0
motivational,0
inventory,0
kind,0
successfully,0
home,0
collection,0
seven,0
ended,0
chinese,0
note,0
master,0
advance,0
public,0
grow,0
limit,0
wide,0
recommend,0
global,0
guidance,0
complexity,0
hold,0
cover,0
interact,0
target,0
relatively,0
certain,0
trend,0
occur,0
full,0
display,0
whereas,0
modern,0
along,0
contain,0
versus,0
consistent,0
easily,0
connection,0
comprehensive,0
internal,0
guideline,0
popular,0
limited,0
century,0
sequence,0
parallel,0
manage,0
contrast,0
making,0
natural,0
depth,0
validation,0
bring,0
continuous,0
frequently,0
look,0
united,0
input,0
express,0
product,0
possibility,0
turn,0
whole,0
throughout,0
emphasis,0
intend,0
sequential,0
intrinsic,0
comment,0
screen,0
broad,0
ease,0
free,0
up,0
staff,0
status,0
association,0
body,0
unique,0
developed,0
relative,0
of,0
add,0
person,0
connect,0
around,0
following,0
capture,0
another,0
exploration,0
yield,0
fully,0
identification,0
clear,0
prove,0
mainly,0
definition,0
last,0
central,0
distribute,0
interpretation,0
art,0
begin,0
force,0
dependent,0
interpret,0
comparative,0
reliable,0
analytical,0
position,0
ii,0
usually,0
raise,0
original,0
pilot,0
argument,0
attend,0
family,0
dimensional,0
currently,0
analytic,0
overcome,0
close,0
though,0
pair,0
valid,0
involvement,0
come,0
hierarchical,0
american,0
transition,0
commonly,0
match,0
start,0
ensure,0
directly,0
memory,0
relevance,0
decade,0
monitor,0
comprise,0
significance,0
calculate,0
move,0
typically,0
meaning,0
recently,0
preliminary,0
aware,0
failure,0
prediction,0
transformation,0
protocol,0
european,0
flexibility,0
bridge,0
previously,0
shift,0
strongly,0
believe,0
reaction,0
fail,0
distinct,0
external,0
primarily,0
get,0
reach,0
methodological,0
pursue,0
capacity,0
valuable,0
consistency,0
history,0
considerable,0
outside,0
subsequent,0
paradigm,0
cognition,0
variation,0
scope,0
nine,0
balance,0
vocational,0
ground,0
similarity,0
rubric,0
prefer,0
separate,0
modify,0
behavior,6
day,0
spend,0
availability,0
run,0
pay,0
improved,0
operational,0
sound,0
cod,0
contemporary,0
frame,0
expand,0
poor,0
instead,0
track,0
detailed,0
hundred,0
half,0
name,0
next,0
mostly,0
rely,0
strength,0
region,0
try,0
imply,0
extensive,0
automatically,0
china,0
satisfy,0
notion,0
potentially,0
partner,0
refer,0
expose,0
leave,0
consequence,0
enhancement,0
increased,0
determination,0
keep,0
everyday,0
intensive,0
actively,0
constructive,0
coding,0
subjective,0
interesting,0
comparable,0
interpersonal,0
approximately,0
systematically,0
mind,0
gender,6
provision,0
initially,0
measurement,9
presence,6
qualitative,6
english,6
toward,6
empirical,6
estimate,9
scientific,6
error,9
technological,6
standard,6
collaboration,6
electronic,6
equation,6
access,6
module,6
mobile,5
physic,6
algorithm,6
hypothesis,6
modeling,6
multimedia,6
analyse,6
mathematical,6
agent,6
criterion,0
pedagogy,6
object,6
intention,6
cost,0
writing,6
semester,0
regression,0
exploratory,0
predictor,0
mechanism,0
reflective,0
coefficient,0
foster,0
variance,0
hardware,0
blended,0
rating,0
department,0
utilize,0
hands,0
site,0
prepare,0
property,0
positively,0
textbook,0
formal,0
mental,0
culture,0
population,0
testing,0
institutional,0
image,0
environmental,0
creative,0
regulated,0
introductory,0
simulate,0
remain,0
code,0
forum,0
cooperative,0
initiative,0
taiwan,0
detect,0
novel,0
respect,0
prompt,0
co,0
leadership,0
biology,0
diverse,0
organization,0
hand,0
correlate,0
attribute,0
quasi,0
board,0
practitioner,0
computational,0
suitable,0
efficiency,0
intelligence,0
informal,0
senior,0
semantic,0
cause,0
opinion,0
risk,0
correct,0
respond,0
constraint,0
networking,0
society,0
didactic,0
amount,0
reasoning,0
deal,0
predictive,0
emphasize,0
fact,0
deliver,0
descriptive,0
rich,0
matter,0
cycle,0
recognize,0
campus,0
competition,0
message,0
beyond,0
namely,0
least,0
mediate,0
audio,0
workshop,0
recognition,0
multilevel,0
transform,0
majority,0
us,0
preparation,0
depend,0
website,0
old,0
expertise,0
proficiency,0
log,0
organize,0
gather,0
business,0
diagnostic,0
or,0
respondent,0
equivalent,0
longitudinal,0
maximum,0
sharing,0
database,0
foundation,0
graphic,0
mentor,0
respectively,0
administration,0
local,0
lm,0
principal,0
location,0
rule,0
utility,0
taxonomy,0
script,0
serious,0
operate,0
event,0
directed,0
decrease,0
prototype,0
typical,0
mastery,0
exchange,0
verify,0
health,0
tutorial,0
geometry,0
overview,0
scheme,0
center,0
adequate,0
freshman,0
shape,0
accurate,0
reform,0
abstract,0
partial,0
junior,0
institute,0
diversity,0
completion,0
whose,0
conflict,0
law,0
cohort,0
optimal,0
characterize,0
synthesis,0
taught,0
competitive,0
applied,0
act,0
undertake,0
substantial,0
expression,0
platform,6
underlie,0
file,0
iterative,0
revise,0
driven,0
assistance,0
explicit,0
professor,0
communicate,0
claim,0
collective,0
placement,0
oral,0
quantity,0
south,0
generic,0
production,0
weight,0
realize,0
align,0
list,0
commitment,0
stress,0
distinguish,0
efficiently,0
mark,0
reported,0
put,0
sophisticated,0
orient,0
clearly,0
picture,0
familiar,0
late,0
robust,0
compose,0
ongoing,0
loss,0
live,0
developer,0
recording,0
historical,0
cooperation,0
felt,0
equal,0
skills,0
couple,0
dominant,0
split,0
adjustment,0
supervision,0
fall,0
accomplish,0
substantially,0
want,0
de,0
safety,0
nearly,0
habit,0
touch,0
strengthen,0
korea,0
wider,0
integrative,0
judge,0
summer,0
struggle,0
uncover,0
only,0
parameter,9
philosophy,0
west,0
literacy,6
child,5
towards,6
engineer,6
programming,6
lab,6
programme,6
anxiety,6
electrical,12
female,6
comprehension,6
conception,6
blend,0
metacognitive,0
scaffold,0
energy,0
identity,0
format,0
treatment,0
male,0
behavioral,0
index,0
portfolio,0
centered,0
accuracy,0
graphical,0
confirmatory,0
equipment,0
bias,0
flow,0
math,0
conventional,0
constructivist,0
barrier,0
differ,0
interdisciplinary,0
flexible,0
efficient,0
parent,0
creation,0
circuit,12
enhanced,0
synchronous,0
embedded,0
moderate,0
mediated,0
posttest,0
emotional,0
intelligent,0
multidimensional,0
authentic,0
matrix,0
book,0
dialogue,0
exhibit,0
output,0
foreign,0
talk,0
hybrid,0
monitoring,0
story,0
turkey,0
curricular,0
semi,0
situate,0
assisted,0
mapping,0
capital,0
miss,0
filter,0
essay,0
outperform,0
square,0
teamwork,0
adaptation,0
narrative,0
contextual,0
classify,0
evolution,0
disciplinary,0
twenty,0
classical,0
interactivity,0
stability,0
spain,0
option,0
beneficial,0
speed,0
powerful,0
ill,0
procedural,0
re,0
specification,0
graph,0
organizational,0
hypothesize,0
artifact,0
normal,0
sustainable,0
assume,0
metric,0
infrastructure,0
negatively,0
agreement,0
conversation,0
exposure,0
ten,0
distributed,0
supply,0
formation,0
administrator,0
sub,0
enrich,0
the,0
fifth,0
empirically,0
daily,0
urban,0
integral,0
logical,0
pencil,0
largely,0
navigation,0
autonomy,0
homework,0
native,0
collaborate,0
reader,0
underlying,0
proper,0
postgraduate,0
vehicle,0
al,0
scoring,0
observed,0
print,0
stakeholder,0
standardized,0
trial,0
functionality,0
root,0
speech,0
upper,0
attract,0
elaboration,0
passive,0
complement,0
tension,0
anova,0
besides,0
credit,0
sustain,0
educate,0
curve,0
facility,0
rank,0
heuristic,0
handheld,0
norm,0
reinforce,0
pressure,0
chain,0
