word,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,非零平均排位,非零个数,综合评分,均值归一,个数归一,rate,0.7,,
difference,0.038196178,0.030266739,0.004139796,0.008288356,0.056933236,0.03032765,0.046514389,0.042692075,0.034354441,0.028494076,0.007695021,0.012018891,0.028326737,12,0.351744624,0.073920892,1,0,,,
significant,0.041193207,0.035285846,0.007286042,0.021826004,0.011386647,0.035659984,0.050850476,0.04862153,0.030812746,0.029370817,0.012825035,0.013432878,0.028212601,12,0.351529194,0.073613134,1,0,,,
digital,0.043425037,0.033916999,0.011922614,0.029561804,0.000284666,0.036993068,0.035082887,0.001976485,0.000708339,0.025863853,0.04424637,0.074234324,0.028184704,12,0.351476538,0.073537911,1,0,,,
purpose,0.023147266,0.026616479,0.016724777,0.011603699,0.020495965,0.024328774,0.027199092,0.033204947,0.073313086,0.032001039,0.030780084,0.015553858,0.027914089,12,0.350965757,0.072808224,1,0,,,
measure,0.029715224,0.017642923,0.006458082,0.012708813,0.097071168,0.031660734,0.032717748,0.02490371,0.03541695,0.026740594,0.016672545,0.002827974,0.027878039,12,0.350897713,0.072711018,1,0,,,
undergraduate,0.01638801,0.008821462,0.030137718,0.052769201,0.002846662,0.013664106,0.013402451,0.01185891,0.066229696,0.027178965,0.078232713,0.010604903,0.0276779,12,0.350519953,0.072171361,1,0,,,
discuss,0.019831405,0.031179304,0.012916165,0.028180411,0.039568599,0.049324091,0.033506128,0.012254207,0.009916746,0.027178965,0.037833853,0.02969373,0.0276153,12,0.350401797,0.072002568,1,0,,,
application,0.024486364,0.030570927,0.062262538,0.04724363,0.021919296,0.021995878,0.021680436,0.01976485,0.008145898,0.01052089,0.057071405,0.005655949,0.027609838,12,0.350391488,0.07198784,1,0,,,
participant,0.042022172,0.036806788,0.001159143,0.0038679,0.009393984,0.045658111,0.051244666,0.032019056,0.032229424,0.031562669,0.003206259,0.037470659,0.027220069,12,0.349655805,0.070936864,1,0,,,
context,0.032329653,0.04273846,0.007286042,0.01519532,0.01565664,0.041325589,0.026804902,0.033600244,0.024437695,0.019288297,0.014107538,0.05161053,0.027031743,12,0.349300342,0.070429059,1,0,,,
case,0.024996497,0.026920667,0.014075308,0.029009246,0.011671313,0.060988571,0.020497866,0.017393068,0.01416678,0.028494076,0.033986342,0.038177652,0.026698116,12,0.348670626,0.069529465,1,0,,,
